authors,title,year,source_title,document_type,cited_by,affiliations,author_keywords,doi,link
"Gaines J., Poy J., Musser K.A., Benowitz I., Leung V., Carothers B., Kauerauf J., Mollon N., Duwell M., Henschel K., De Jesus A., Head S.K., Lee K., Arboleda N., Esposito D.H.","Nontuberculous mycobacteria infections in U.S. medical tourists associated with plastic surgery — Dominican Republic, 2017",2018,Morbidity and Mortality Weekly Report,Note,4,"Travelers’ Health Branch, Division of Global Migration and Quarantine, National Center for Emerging and Zoonotic Infectious Diseases, CDC, United States; New York City Department of Health and Mental Hygiene, Bureau of Communicable Disease, United States; Wadsworth Center, New York State Department of Health, United States; Prevention and Response Branch, Division of Healthcare Quality Promotion, National Center for Emerging and Zoonotic Infectious Diseases, CDC, United States; Epidemiology Workforce Branch, Division of Scientific Education and Professional Development, Center for Surveillance, Epidemiology and Laboratory Services, CDC, United States; Connecticut Department of Public Health, United States; New Jersey Department of Health, Communicable Disease Service, United States; Illinois Department of Public Health, Communicable Disease Control Section, United States; Michigan Department of Health and Human Services, United States; Maryland Department of Health, Infectious Disease Epidemiology and Outbreak Response Bureau, United States; Missouri Department of Health and Senior Services, Bureau of Communicable Disease Control and Prevention, United States; Division of Epidemiology and Immunization, Massachusetts Department of Public Health, Bureau of Infectious Disease and Laboratory Sciences, United States; Division of Epidemiology-Disease Surveillance and Investigation, District of Columbia Department of Health, United States; Country Office, Dominican Republic, Division of Global HIV and TB, Center for Global Health, CDC, United States",NA,10.15585/mmwr.mm6712a5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045527835&doi=10.15585%2fmmwr.mm6712a5&partnerID=40&md5=00fb281ee34586d10f0283fd8e16e28a
"Balia S., Brau R., Marrocu E.",Interregional patient mobility in a decentralized healthcare system,2018,Regional Studies,Article,4,"Department of Economics and Business, Centro Ricerche Economiche Nord Sud (CRENoS)–Università di Cagliari, Cagliari, Italy",decentralized health systems; hospital admissions; interregional patient mobility; Italy; non-linear panel-data methods; spatial spillovers,10.1080/00343404.2017.1307954,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018438487&doi=10.1080%2f00343404.2017.1307954&partnerID=40&md5=d9da86d44c97f509e7f95dd67a0d5dd9
"Lu H.-Y., Wu W.-Y.",Factors associated with medical travel behaviours: the input–process–output perspective,2018,Current Issues in Tourism,Article,4,"Department of Travel Industry Management, Far East University, No. 49, Zhonghua Road, Xinshi District, Tainan City, 74448, Taiwan; Department of Business Administration, Nan-Hua University, No. 55, Section 1, Nanhua Road, Dalin Township, Chiayi County, Taiwan; Department of International Business Management, Chien Hsin University of Science and Technology, No. 229, Jianxing Road, Zhongli District, Taoyuan City, 32097, Taiwan",behavioural intention; corporate image; destination image; medical tourism; perceived value; service quality,10.1080/13683500.2015.1072503,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938632504&doi=10.1080%2f13683500.2015.1072503&partnerID=40&md5=14f6ccf78f45d0c5f49ca40e279e10b1
"Jain V., Ajmera P.",Quantifying the variables affecting Indian medical tourism sector by graph theory and matrix approach,2018,Management Science Letters,Article,4,"Department of Mechanical Engineering, Amity University Gurgaon, India; Department of Hospital Administration, Amity Medical School, Amity University Haryana, India",EFA; Exploratory factor analysis; Globalization; Graph theory and matrix approach; GTMA; Liberalization; Medical tourism,10.5267/j.msl.2018.2.003,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045049181&doi=10.5267%2fj.msl.2018.2.003&partnerID=40&md5=3d5c493bf36f313070ff7fffe965e521
"Zuzda J.G., Półjanowicz W., Latosiewicz R., Borkowski P., Bierkus M., Moska O.",Innovative E-portal for prevention and therapeutic programme for treatment of the obesity and overweight in health-tourism,2017,AIP Conference Proceedings,Conference Paper,4,"Bialystok University of Technology, Faculty of Management, Department of Tourist Economy, Ojca Tarasiuka 2, Kleosin, 16-001, Poland; University of Bialystok, Faculty of Mathematics and Informatics, Institute of Informatics, Ciolkowskiego 1M, Bialystok, 15-245, Poland; Medical University of Lublin, Faculty of Health Sciences, Department of Rehabilitation and Physiotherapy, Magnoliowa 2, Lublin, 20-143, Poland; Bialystok University of Technology, Faculty of Mechanical Engineering, Department Biocybernetics and Biomedical Engineering, Wiejska 45 c, Bialystok, 15-351, Poland; Gdansk University of Physical Education and Sport, Poland",NA,10.1063/1.5012458,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038833845&doi=10.1063%2f1.5012458&partnerID=40&md5=80051fc6cf25ae673984306da253af7c
"Yuan S., Palmer J.M., Tsai N.-C., Dagis A., Nademanee A., Wang S.",Engraftment and outcomes following autologous stem cell transplantation in Hodgkin lymphoma patients mobilized with plerixafor,2017,Hematological Oncology,Article,4,"Division of Transfusion Medicine, Department of Pathology and Laboratory Medicine, City of Hope National Medical Center, Duarte, CA, United States; Division of Biostatistics, Department of Information Sciences, City of Hope National Medical Center, Duarte, CA, United States; Department of Hematology, City of Hope National Medical Center, Duarte, CA, United States",autologous stem cell transplant; Hodgkin lymphoma; peripheral blood stem cell mobilization and collection; plerixafor,10.1002/hon.2286,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959312424&doi=10.1002%2fhon.2286&partnerID=40&md5=e84edc73c0219f120cd4ed5bb9c9c555
"Chee H.L., Whittaker A., Por H.H.","Medical travel facilitators, private hospitals and international medical travel in assemblage",2017,Asia Pacific Viewpoint,Article,4,"Centre for Research on Women and Gender (KANITA), Universiti Sains Malaysia, Gelugor, Penang  11800, Malaysia; School of Social Sciences, Monash University, Clayton, MelbourneVIC  3800, Australia; Malaysian Chinese Research Center, University of MalayaKuala Lumpur  50603, Malaysia",assemblage; international medical travel; medical tourism; medical travel facilitators; neoliberalism,10.1111/apv.12161,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026656420&doi=10.1111%2fapv.12161&partnerID=40&md5=bc76a89c721c63318d5990a93ae86619
"Crooks V.A., Ormond M., Jin K.N.",Reflections on 'medical tourism' from the 2016 Global Healthcare Policy and Management Forum,2017,BMC Proceedings,Conference Paper,4,"Department of Geography RCB 7227, Simon Fraser University, 8888 University Drive, Burnaby, BC  V5A 1S6, Canada; Cultural Geography Wageningen University and Research, PO Box 47, Wageningen, 6700 AA, Netherlands; Department of Health Administration, Yonsei University, Wonju, South Korea",Medical tourism; Medical travel; Research,10.1186/s12919-017-0075-8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85024366223&doi=10.1186%2fs12919-017-0075-8&partnerID=40&md5=35836e34fd32bb47d9ffcfd791e69ec0
"Vindrola-Padros C., Brage E.",Child medical travel in Argentina: Narratives of family separation and moving away from home,2017,Children's Health and Wellbeing in Urban Environments,Book Chapter,4,"Department of Applied Health Research, University College London, United Kingdom; University of Buenos Aires, Argentina",NA,10.4324/9781315571560,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020258485&doi=10.4324%2f9781315571560&partnerID=40&md5=d663187b6ed131640559ca0d16c750b4
Jang S.H.,Factors associated with Korean immigrants' medical tourism to the homeland,2017,American Journal of Health Behavior,Article,4,"Department of Sociology, Graduate Center of City University of New York (CUNY), New York, NY, United States",Health insurance; Korean immigrants; Medical tourism; Mixed-method approach; New York-New Jersey area; Transnational ties,10.5993/AJHB.41.4.11,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020381619&doi=10.5993%2fAJHB.41.4.11&partnerID=40&md5=de052613df93da037f252d43dc68ab58
"Crooks V.A., Whitmore R., Snyder J., Turner L.","""Ensure that you are well aware of the risks you are taking…"": actions and activities medical tourists’ informal caregivers can undertake to protect their health and safety",2017,BMC Public Health,Article,4,"Department of Geography, Simon Fraser University, Burnaby, Canada; Faculty of Health Sciences, Simon Fraser University, Burnaby, Canada; Center for Bioethics, School of Public Health, University of Minnesota, Minneapolis, United States",Canada; Caregiver burden; Informal caregiving; Informational intervention; Medical tourism; Qualitative; Transnational care,10.1186/s12889-017-4442-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019586735&doi=10.1186%2fs12889-017-4442-1&partnerID=40&md5=ac56759ea8f6c7fba7f0c87c05fe658f
Vollaard H.,"Patient mobility, changing territoriality and scale in the EU's internal market",2017,Comparative European Politics,Article,4,"Institute of Political Science, Leiden University the Netherlands, Wassenaarseweg 52, Leiden, AK 2333, Netherlands",Belgium; CJEU case law; Patients' Rights Directive; scale; territoriality; the Netherlands,10.1057/cep.2016.8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018986670&doi=10.1057%2fcep.2016.8&partnerID=40&md5=dbe7ba2fc281a0662f59b8e3d63bdf87
"Yeo H.J., Cho W.H., Park J.M., Kim D.",Interhospital transport system for critically ill patients: Mobile extracorporeal membrane oxygenation without a ventilator,2017,Korean Journal of Thoracic and Cardiovascular Surgery,Article,4,"Department of Pulmonology and Critical Care Medicine, Research Institute for Convergence of Biomedical Science and Technology, Pusan National University Yangsan Hospital, South Korea; Department of Thoracic and Cardiovascular Surgery, Research Institute for Convergence of Biomedical Science and Technology, Pusan National University Yangsan Hospital, South Korea",Acute respiratory distress syndrome (ARDS); Emergency medical system; Extracorporeal membrane oxygenation; Patient transfer,10.5090/kjtcs.2017.50.1.8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85012023510&doi=10.5090%2fkjtcs.2017.50.1.8&partnerID=40&md5=7d086c47fe68afccc1faa4f6ddf49d82
Ormond M.,Knowledge transfer in the 'medical tourism' industry: The role of transnational migrant patients and health workers,2016,Handbook of Migration and Health,Book Chapter,4,"Wageningen University, Netherlands",NA,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075841556&partnerID=40&md5=249ee1f5d4719801a0e13439b3c10aa7
Uçak H.,The relationship between the growth in the health sector and inbound health tourism: the case of Turkey,2016,SpringerPlus,Article,4,"Department of Economics and Finance, Faculty of Business, Alanya Alaaddin Keykubat University, Alanya, Antalya, Turkey",Granger causality; Health and social work expenditures; Health tourism; Johansen cointegration,10.1186/s40064-016-3341-8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84989360970&doi=10.1186%2fs40064-016-3341-8&partnerID=40&md5=d1aec28ac830f9785604856b13b7dc5e
"Frikha M., Mhiri M., Zarai M., Gargouri F.",Using TMT ontology in trust based medical tourism recommender system,2016,"Proceedings of IEEE/ACS International Conference on Computer Systems and Applications, AICCSA",Conference Paper,4,"University of Sfax, MIRACL Laboratory, Sfax, Tunisia",Ontology; Recommender systems; Semantic web mining; Social Network; Tourism; Trust,10.1109/AICCSA.2016.7945768,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021907034&doi=10.1109%2fAICCSA.2016.7945768&partnerID=40&md5=7c8d1d8b7527ac806643f1f23d3a5278
Jun J.,"Framing Service, Benefit, and Credibility Through Images and Texts: A Content Analysis of Online Promotional Messages of Korean Medical Tourism Industry",2016,Health Communication,Article,4,"Department of Communication, Wayne State University, United States",NA,10.1080/10410236.2015.1007553,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949208429&doi=10.1080%2f10410236.2015.1007553&partnerID=40&md5=264c74fa0fd49705cbe9692335615515
"Frischhut M., Fahy N.",Patient mobility in times of austerity: A legal and policy analysis of the petru case,2016,European Journal of Health Law,Review,4,"Department of Management and Law, MCI Management Center Innsbruck, Innsbruck, Austria; University of Oxford, United Kingdom",Austerity; Cross-border healthcare; Directive 2011/24/EU; ECJ case-law; EU Charter; Patient mobility; Patient's rights; Regulation 883/2004,10.1163/15718093-12341378,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960458414&doi=10.1163%2f15718093-12341378&partnerID=40&md5=87c7c881cd02408bb2bbc65fda42d4bf
Kasemsap K.,The role of medical tourism in emerging markets,2015,Current Issues and Emerging Trends in Medical Tourism,Book Chapter,4,"Faculty of Management Sciences, Suan Sunandha Rajabhat University, Bangkok, Thailand",NA,10.4018/978-1-4666-8574-1.ch007,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957699440&doi=10.4018%2f978-1-4666-8574-1.ch007&partnerID=40&md5=f4664c95d5f4f2b2a11a81ca909034da
"Cooper M., Vafadari K., Hieda M.",Current issues and emerging trends in medical tourism,2015,Current Issues and Emerging Trends in Medical Tourism,Book,4,"Graduate School of Asia Pacific Studies, Ritsumeikan Asia Pacific University, Japan; College of Asia Pacific Studies, Ritsumeikan Asia Pacific University, Beppu, Japan; St Luke Clinic, Oita, Japan",NA,10.4018/978-1-4666-8574-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957634765&doi=10.4018%2f978-1-4666-8574-1&partnerID=40&md5=f92dce0f6c68ce97e521ba6792c7e84c
"Crush J., Chikanda A., Sanders D., Maswikwa B.",The rise of medical tourism to South Africa,2015,Handbook on Medical Tourism and Patient Mobility,Book Chapter,4,"Queens University, Canada; Balsillie School of International Affairs, Canada; University of the Western Cape, South Africa; Human Sciences Research Council, South Africa",NA,10.4337/9781783471195.00043,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029149555&doi=10.4337%2f9781783471195.00043&partnerID=40&md5=22c9d185f8691eee2c85ab4f76ce09f1
"Lee K.-H., Lee T.J.",Opportunities and issues in the health tourism industry: Deep sea water development in Taiwan,2015,Tourism Analysis,Article,4,"Singapore Institute of Technology, Singapore; Department of Tourism and Hospitality, Ritsumeikan Asia Pacific University (APU), Beppu, Japan",Deep Sea Water (DSW); Health tourism; Local government; Taiwan,10.3727/108354215X14400815080569,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84945302102&doi=10.3727%2f108354215X14400815080569&partnerID=40&md5=a0b70c39d3534d28e29470e0c3b5876a
"Kelly K., McCarthy A., McLean L.",Distributed learning or medical tourism? A Canadian residency program's experience in global health,2015,Journal of Surgical Education,Article,4,"Department of Otolaryngology - Head and Neck Surgery, University of Ottawa, Ottawa, ON, Canada; Department of Medicine, University of Ottawa, Ottawa, ON, Canada",assessment; CanMEDS; global health; medical education; objectives; otolaryngology; residency,10.1016/j.jsurg.2015.01.004,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84931575556&doi=10.1016%2fj.jsurg.2015.01.004&partnerID=40&md5=c569804e9e103535bbadfe7ea90b7573
"Choi K., Lee T.J., Kim H.-K.",Strategic marketing development of hospitals participating in medical tourism: A case of South Korea,2015,Tourism Analysis,Article,4,"Division of Culture and Tourism, Sookmyung Women's University, Seoul, South Korea; Department of Tourism and Hospitality, Ritsumeikan Asia Pacific University (APU), Beppu, 874-8577, Japan; Department of Hotel Management, Jeju International University, Jeju City, South Korea",Medical tourism; Network development; Promotion activities,10.3727/108354215X14205687167860,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925269178&doi=10.3727%2f108354215X14205687167860&partnerID=40&md5=952f60c12f9825c0958e8234104a5674
Ho K.-T.,Medical tourism: New strategies for the health care industry in Taiwan,2015,Journal of the Formosan Medical Association,Short Survey,4,"Division of Gerontology Research, Institute of Population Health Sciences, National Health Research Institutes, Miaoli, Taiwan",NA,10.1016/j.jfma.2014.09.005,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84922730898&doi=10.1016%2fj.jfma.2014.09.005&partnerID=40&md5=c425318f76e34a042545adac42f6bdeb
Finch S.,Thailand top destination for medical tourists.,2014,CMAJ : Canadian Medical Association journal = journal de l'Association medicale canadienne,Note,4,NA,NA,10.1503/cmaj.109-4655,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84894759338&doi=10.1503%2fcmaj.109-4655&partnerID=40&md5=95b9b5ec1e795aa987254157217c2374
Goodrich J.N.,Health-care tourism in the Caribbean,2014,Tourism Marketing and Management in the Caribbean,Book Chapter,4,"College of Business Administration, Florida International University, United States",NA,10.4324/9781315767338,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84956783491&doi=10.4324%2f9781315767338&partnerID=40&md5=1814cd8bc7c1ccb433f7af0bd75385a0
"Ho Y.C., Hsieh M.J., Yu A.P.",Effects of customer-value perception and anticipation on relationship quality and customer loyalty in medical tourism services industry,2014,Information Technology Journal,Article,4,"Department of Business Administration, National Chung Cheng University, 168, University Rd., Min-Hsiung, Chia-Yi, Taiwan",Customer value anticipation; Loyalty; Medical tourism; Relationship quality,10.3923/itj.2014.652.660,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84945181066&doi=10.3923%2fitj.2014.652.660&partnerID=40&md5=5dde048ee6b9d4065b852315658052a1
"Mitrečić D., Bilić E., Gajović S.",How Croatian patients suffering from amyotrophic lateral sclerosis have been turned into medical tourists - A comment on a medical and social phenomenon,2014,Croatian Medical Journal,Editorial,4,"Laboratory for Stem Cells, Section of Neurogenetics, Cytogenetics, and Developmental Genetics, Croatian Institute for Brain Research, University of Zagreb School of Medicine, Zagreb, Croatia; Referral Center for Neuromuscular Diseases and Clinical Electromyoneurography, Department of Neurology, University Hospital Center Zagreb, University of Zagreb School of Medicine, Croatia; Croatian Medical Journal, Zagreb, Croatia",NA,10.3325/cmj.2014.55.443,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84920154836&doi=10.3325%2fcmj.2014.55.443&partnerID=40&md5=e5030de99ac15ef7552f8013fa7023b4
"Rajagopal S., Guo L., Edvardsson B.",Role of resource integration in adoption of medical tourism service,2013,International Journal of Quality and Service Sciences,Article,4,"Institute of Systems Science, National University of Singapore, Singapore; Faculty of Economy, Communication and IT, CTF-Service Research Center, Karlstad University, Karlstad, Sweden",Emotional discomfort; Health care; Medical tourism; Medical treatment; Medicine; Service system; Social resource integration; Tourism,10.1108/IJQSS-07-2012-0005,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84986066992&doi=10.1108%2fIJQSS-07-2012-0005&partnerID=40&md5=96ffb60a15dc45bd37ec06654737aad4
Turner L.,Canadian medical travel companies and the globalisation of health care,2013,Medical Tourism and Transnational Health Care,Book Chapter,4,"Center for Bioethics, School of Public Health and College of Pharmacy, University of MinnesotaMN, United States",NA,10.1057/9781137338495,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84996799525&doi=10.1057%2f9781137338495&partnerID=40&md5=55155ec7c2e78a8a871be575d6f47b3b
"Álvarez M.M., Smith R.D., Chanda R.",The impact of medical tourism in low- and middle-income countries,2013,Medical Tourism and Transnational Health Care,Book Chapter,4,"Department of Global Health and Development, London School of Hygiene and Tropical Medicine, London, United Kingdom; Faculty of Public Health and Policy, London School of Hygiene and Tropical Medicine, London, United Kingdom; Indian Institute of Management Bangalore (IIMB), India",NA,10.1057/9781137338495,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84996644248&doi=10.1057%2f9781137338495&partnerID=40&md5=3e0727cd9b4f62080c47a00a6e67ea06
"Langley J.D., Johnson T.J., Hohmann S.F., Meurer S.J., Garman A.N.",Empirical analysis of domestic medical travel for elective cardiovascular procedures,2013,American Journal of Managed Care,Article,4,"UHC, 155 North Wacker Dr, Chicago, IL 60606, United States; Center for Health Management and Policy Research, United States; Department of Health Systems Management, Rush University, Chicago, IL, United States; National Center for Healthcare Leadership, Chicago, IL, United States",NA,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84887220655&partnerID=40&md5=7babfaf55a8dfe234f709819c3723ef2
"Niechajev I., Frame J.",A plea to control medical tourism,2012,Aesthetic Plastic Surgery,Review,4,"Lidingö-clinic, Torsvägen 30, 181 32 Lidingö, Sweden",Anaesthesia complication; Breast augmentation; Medical procedures abroad; Medical tourism; Patient safety,10.1007/s00266-011-9766-0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84857918716&doi=10.1007%2fs00266-011-9766-0&partnerID=40&md5=87c8e8fa58fd6f9f2ab4a33d16a0d708
James P.T.,The impact of medical tourism on Thai private hospital management: informing hospital policy.,2012,Global journal of health science,Article,4,"Bangkok University, Bangkok, Thailand",NA,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867859496&partnerID=40&md5=bba44bd1868d131e85902b164647e109
"Kaul T.K., Chhina D.K.",Medical tourism and new Delhi metallo (β-Lactamase 1 a concern and threat,2010,Journal of Anaesthesiology Clinical Pharmacology,Editorial,4,NA,NA,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859343398&partnerID=40&md5=f7f59c0ff17008118cd416316ff9692a
"Haung C.-Y., Wang S.-P., Chiang C.-W.",Cost feasibility of A pre-checking medical tourism system for U.S. patients undertaking joint replacement surgery in Taiwan,2010,Chang Gung Medical Journal,Article,4,"Department of Industrial and Business Management, Chang Gung University, Taoyuan, Taiwan; Department of Orthopedics, Chang Gung Memorial Hospital at Linkou, Chang Gung University College of Medicine, Taoyuan, Taiwan",Cost analysis; Joint replacement surgery; Medical tourism; Pricing,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-78651260440&partnerID=40&md5=6bff48193c7c3f717cd3b29a03019793
Morgan D.,The growth of medical tourism,2010,OECD Observer,Article,4,"Health Division, United States; Employment Labour and Social Affairs, United States",NA,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-78649811286&partnerID=40&md5=ffd8466c85446d74759699f2e5525e27
"Weiss E.M., Spataro P.F., Kodner I.J., Keune J.D.","Banding in Bangkok, CABG in Calcutta: The United States physician and the growing field of medical tourism",2010,Surgery,Article,4,"Department of Surgery, Washington University, School of Medicine, 26 Portland Drive, St. Louis, MO 63131, United States",NA,10.1016/j.surg.2010.06.012,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77955876053&doi=10.1016%2fj.surg.2010.06.012&partnerID=40&md5=391e23684eb9c98910f3ddbb1de4d17d
Rhea S.,"Still packing their bags. Health reform won't drastically alter the economics of medical tourism, but patients and providers can expect new opportunities, at home and abroad.",2009,Modern healthcare,Article,4,NA,NA,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-69449091347&partnerID=40&md5=924603460f5e30a2fd5412abf90c4f12
Brown S.B.,Datapage. Medical tourism: nations vie for health dollars.,2008,Hospitals & health networks / AHA,Article,4,NA,NA,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-60849092927&partnerID=40&md5=be5bb3a515e1b4557f0941e8eea2cbe5
"Lorenzon D., Mazzucato M., Abbruzzese L., Cilli M., De Angeli S., Degan M., Mambrini G., Piccardi F., Rupolo M., Michieli M., De Marco L., Gattei V., Astori G.",Preclinical ex vivo expansion of peripheral blood CD34+ selected cells from cancer patients mobilized with combination chemotherapy and granulocyte colony-stimulating factor,2008,Vox Sanguinis,Article,4,"Cell Therapy Unit, Cardiocentro Ticino, Via Tesserete 48, CH 6900 Lugano, Switzerland; Clinical and Experimental Haematology Research Unit, IRCCS, Aviano, PN, Italy; Blood Bank, Department of Clinical Pathology and Immunohaematology, IRCCS, Aviano, PN, Italy; Animal Facility, Istituto Nazionale Per la Ricerca Sul Cancro, Genova, Italy; Cell Culture Laboratory, Blood Bank, Treviso Regional Hospital, Treviso, Italy; Sorin Group Italia Srl, Mirandola, MO, Italy; Medical Oncology, Centro di Riferimento Oncologico, IRCCS, Aviano, PN, Italy; Cell Therapy Unit, Cardiocentro Ticino, Lugano, Switzerland",Ex vivo expansion bioreactors; Haematopoietic stem cell transplantation; Peripheral blood,10.1111/j.1423-0410.2008.01038.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-42149126716&doi=10.1111%2fj.1423-0410.2008.01038.x&partnerID=40&md5=e185c5292b015270aa3aad3e3e10f00d
"Martinez D., Ferriol P., Tous X., Cabrer M., Prats M.",Virtual health platform for medical tourism purposes,2008,Studies in Health Technology and Informatics,Conference Paper,4,"E-Government, E-Business and E-Health, Fundació IBIT, Spain; Innovation, Research and Communication Consulting, S.L., Spain",Business models; Health tourism; Interoperability; Personal health record,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-52649116612&partnerID=40&md5=1ec83c188ade9982eb5490fe82b734cc
Den Exter A.,"Patient mobility in European Union: Health spas in Ischia, Italy",2005,Croatian Medical Journal,Review,4,"Erasmus University Rotterdam, Rotterdam, Netherlands; Erasmus University Rotterdam, P.O. Box 1738, 3000 DR Rotterdam, Netherlands",NA,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-18844364662&partnerID=40&md5=a6bff7f86f4bb32a63345d966df24604
"Butler R.W., Szromek A.R.",Incorporating the value proposition for society with business models of health tourism enterprises,2019,Sustainability (Switzerland),Article,3,"Department of Hospitality and Tourism Management, University of Strathclyde, 16 Richmond Street, Glasgow, Scotland, G1 1XQ, United Kingdom; Department of Organization and Management, Institute of Economy and Informatics, Silesian University of Technology, Akademicka 2A, Gliwice, 44-100, Poland",Business model; Health resorts; Spa tourism; Sustainability,10.3390/su11236711,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076692742&doi=10.3390%2fsu11236711&partnerID=40&md5=22082604ff32efd63d638203609fd579
Mathijsen A.,"Home, sweet home? Understanding diasporic medical tourism behaviour. Exploratory research of Polish immigrants in Belgium",2019,Tourism Management,Article,3,"Warsaw School of Economics (SGH), The Collegium of World Economy, Department of Tourism, Al. Niepodległości 162, Warsaw, 02-554, Poland",Diasporic tourism; Medical travel/tourism; Tourism motivation; Transnational healthcare; VFR tourism,10.1016/j.tourman.2018.12.009,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059673439&doi=10.1016%2fj.tourman.2018.12.009&partnerID=40&md5=468e8fa95ed529c8f7aba08b8783dc7f
"Ridderstaat J., Singh D., DeMicco F.",The impact of major tourist markets on health tourism spending in the United States,2019,Journal of Destination Marketing and Management,Article,3,"University of Central Florida, Rosen College of Hospitality Management, 9907 Universal Boulevard, Orlando, FL  32819, United States",Elasticity; Health tourism; Instrumental variable regression; Tourism demand; United States,10.1016/j.jdmm.2018.05.003,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046871951&doi=10.1016%2fj.jdmm.2018.05.003&partnerID=40&md5=4fca0157a76727bda69b914bc77794b6
"Fongtanakit R., Somjai S., Prasitdumrong A., Jermsittiparsert K.",The determinants of the medical tourism supply chain of Thailand,2019,International Journal of Supply Chain Management,Article,3,"Graduate School, Suan Sunandha Rajabhat University, Thailand; The Senizens, Thailand; Social Research Institute, Chulalongkorn University, Thailand",Medical tourism; Supply chain; Thailand,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078232925&partnerID=40&md5=ab8d42a92af7503cf64d93e08ce8dd4f
Horsfall D.,Medical tourism from the UK to Poland: how the market masks migration,2019,Journal of Ethnic and Migration Studies,Article,3,"Department of Social Policy and Social Work, University of York, York, United Kingdom",Medical tourism; migration; Poland,10.1080/1369183X.2019.1597470,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065741785&doi=10.1080%2f1369183X.2019.1597470&partnerID=40&md5=dae7e7bc598272200605a5519fa18716
"Rouland B., Jarraya M.",From medical tourism to regionalism from the bottom up: emerging transnational spaces of care between Libya and Tunisia,2019,Journal of Ethnic and Migration Studies,Article,3,"Institut de recherche sur le Maghreb contemporain de Tunis (IRMC), Tunis, Tunisia; Department of Geography, University of Sfax, Sfax, Tunisia",Hybrid mobilities; Libya; medical tourism; therapeutic circulation; transnational space of care; Tunisia,10.1080/1369183X.2019.1597475,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065709209&doi=10.1080%2f1369183X.2019.1597475&partnerID=40&md5=616d8f5bceb4c2dcfa6d963ee04f9672
Iyamu T.,Health information systems: Developing solutions to support patients’ mobility,2019,International Journal of Healthcare Management,Article,3,"Department of Information Technology, Cape Peninsula University of Technology, Cape Town, South Africa",actor network theory; Health information systems; mobility of healthcare service; Namibia healthcare; qualitative methods,10.1080/20479700.2019.1604935,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064476729&doi=10.1080%2f20479700.2019.1604935&partnerID=40&md5=5fff2aa0cfe186c9f2c8571359b107bc
